                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.93006,                0.61525,                 1.0321,                0.62578,                  0.675,                0.67055,                0.35087,                 1.7265,                 1.4953,                 1.6373,               0.001393,               0.001393,               0.001393
                     85,                0.96468,                0.62498,                 1.0101,                0.59146,                0.74625,                0.66602,                 0.3464,                 1.7659,                 1.4538,                 1.6614,              0.0013897,              0.0013897,              0.0013897
                     86,                0.92796,                0.63639,                 1.0013,                0.59707,                  0.735,                0.67127,                0.35209,                 1.6955,                 1.4225,                 1.6207,              0.0013864,              0.0013864,              0.0013864
                     87,                 0.9253,                0.64165,                 0.9855,                0.63124,                  0.735,                0.67984,                0.34915,                 1.6447,                 1.3628,                 1.6167,              0.0013831,              0.0013831,              0.0013831
                     88,                0.93176,                0.64814,                0.98664,                0.64099,                  0.735,                0.67196,                0.35429,                 1.6477,                  1.388,                 1.5909,              0.0013798,              0.0013798,              0.0013798
                     89,                0.95621,                0.65516,                 1.0052,                0.61573,                0.64968,                0.66207,                 0.3525,                 1.6733,                 1.4229,                 1.6159,              0.0013765,              0.0013765,              0.0013765
                     90,                 0.9338,                 0.6407,                0.98879,                0.62958,                0.66566,                0.67252,                0.37096,                 1.5812,                 1.3491,                 1.5977,              0.0013732,              0.0013732,              0.0013732
                     91,                0.94584,                0.68961,                 1.0332,                 0.6073,                0.71302,                0.67783,                 0.3607,                 1.5519,                 1.3728,                 1.5974,              0.0013699,              0.0013699,              0.0013699
                     92,                 0.9217,                0.62993,                 1.0086,                 0.6324,                0.63458,                0.63822,                0.31547,                 1.6815,                 1.5437,                  1.689,              0.0013666,              0.0013666,              0.0013666
                     93,                0.92697,                 0.6385,                 1.0037,                 0.5519,                0.72375,                0.61968,                0.31909,                 1.6834,                 1.5408,                 1.6839,              0.0013633,              0.0013633,              0.0013633
                     94,                0.94198,                0.60402,                0.97568,                0.57881,                 0.6725,                0.61914,                0.32254,                 1.6338,                 1.5828,                 1.6109,                0.00136,                0.00136,                0.00136
                     95,                0.98903,                0.67025,                0.99262,                0.60955,                 0.6325,                0.62118,                0.32384,                 1.5447,                 1.6339,                 1.5646,              0.0013567,              0.0013567,              0.0013567
                     96,                0.95555,                0.62476,                 1.0007,                0.68951,                0.66564,                0.62742,                0.32231,                 1.6099,                 1.3858,                 1.6086,              0.0013534,              0.0013534,              0.0013534
                     97,                0.96339,                0.61737,                 1.0046,                0.64199,                0.68125,                0.57678,                0.30989,                 1.6802,                 1.3283,                 1.6321,              0.0013501,              0.0013501,              0.0013501
                     98,                0.95008,                0.63668,                0.98204,                0.53736,                0.73544,                0.54518,                 0.2846,                 1.7163,                 1.3639,                 1.6599,              0.0013468,              0.0013468,              0.0013468
                     99,                0.92824,                0.64091,                 0.9883,                0.60854,                0.69254,                0.54482,                0.26875,                 1.8139,                 1.4115,                 1.7373,              0.0013435,              0.0013435,              0.0013435
                    100,                0.90126,                0.61484,                0.99322,                0.59387,                 0.7125,                0.59509,                0.26861,                 1.8047,                 1.5329,                 1.7355,              0.0013402,              0.0013402,              0.0013402
                    101,                0.91126,                0.62619,                0.99398,                0.58208,                 0.7125,                0.58835,                0.28677,                 1.7586,                 1.4543,                 1.6981,              0.0013369,              0.0013369,              0.0013369
                    102,                0.88829,                0.54929,                 1.0059,                0.61708,                0.68125,                 0.6693,                0.35079,                 1.6578,                 1.3446,                 1.6143,              0.0013336,              0.0013336,              0.0013336
                    103,                0.86741,                 0.6172,                0.96806,                 0.6324,                0.76422,                0.68304,                0.37405,                 1.6463,                 1.3292,                 1.5958,              0.0013303,              0.0013303,              0.0013303
                    104,                0.88901,                0.63472,                 1.0139,                0.65587,                  0.655,                0.70839,                0.36535,                 1.7459,                 1.4552,                 1.6644,               0.001327,               0.001327,               0.001327
                    105,                0.86858,                0.59562,                 0.9848,                0.61455,                0.68625,                0.68939,                0.35316,                 1.7707,                 1.5496,                 1.6865,              0.0013237,              0.0013237,              0.0013237
                    106,                0.85665,                0.57889,                 0.9659,                0.51807,                 0.8175,                0.67343,                0.35238,                 1.7601,                 1.5816,                 1.6723,              0.0013204,              0.0013204,              0.0013204
                    107,                0.83642,                 0.5443,                0.94361,                0.57565,                 0.8175,                0.68657,                0.35579,                 1.6811,                 1.4588,                 1.6166,              0.0013171,              0.0013171,              0.0013171
                    108,                0.92507,                0.62499,                 0.9829,                 0.6638,                  0.755,                 0.7153,                0.38822,                 1.6314,                 1.2614,                 1.6082,              0.0013138,              0.0013138,              0.0013138
                    109,                 0.9127,                0.60284,                 1.0389,                0.65438,                  0.715,                 0.7183,                0.36913,                 1.6671,                 1.2448,                 1.6249,              0.0013105,              0.0013105,              0.0013105
                    110,                0.87183,                0.59561,                0.98302,                0.67531,                0.69265,                 0.7028,                0.34659,                 1.7823,                 1.3818,                 1.7271,              0.0013072,              0.0013072,              0.0013072
                    111,                0.90081,                0.59044,                0.98663,                0.67867,                  0.695,                0.66831,                0.32671,                 1.7815,                 1.4416,                 1.7522,              0.0013039,              0.0013039,              0.0013039
                    112,                0.87931,                0.57341,                0.98974,                0.63803,                 0.7015,                 0.6754,                0.36869,                 1.5742,                 1.3607,                  1.603,              0.0013006,              0.0013006,              0.0013006
                    113,                0.92211,                0.60881,                 0.9843,                0.52363,                0.78625,                0.69764,                 0.3617,                 1.5817,                 1.4162,                 1.5967,              0.0012973,              0.0012973,              0.0012973
                    114,                0.91361,                0.59627,                0.97939,                0.49569,                0.84625,                0.68256,                0.34071,                 1.6517,                 1.5427,                 1.6524,               0.001294,               0.001294,               0.001294
                    115,                0.90508,                0.59307,                0.98151,                0.60942,                0.60293,                0.66801,                0.35858,                 1.6454,                 1.5373,                 1.6519,              0.0012907,              0.0012907,              0.0012907
                    116,                0.85198,                0.53617,                0.96181,                0.52021,                0.82663,                0.72109,                0.38061,                 1.6784,                 1.4528,                 1.6516,              0.0012874,              0.0012874,              0.0012874
                    117,                0.85586,                0.55981,                0.96002,                0.56062,                0.68659,                0.72059,                0.39661,                 1.6805,                 1.5325,                 1.6471,              0.0012841,              0.0012841,              0.0012841
                    118,                0.83515,                0.55828,                0.95339,                 0.5895,                  0.715,                 0.7088,                0.38552,                 1.6942,                  1.499,                 1.6432,              0.0012808,              0.0012808,              0.0012808
                    119,                 0.8214,                0.54756,                0.96885,                0.63187,                0.66088,                0.70849,                0.37936,                 1.6725,                 1.4178,                 1.5983,              0.0012775,              0.0012775,              0.0012775
                    120,                0.91222,                0.61338,                 1.0223,                0.57069,                0.78625,                 0.6509,                  0.345,                 1.7115,                 1.3531,                 1.6424,              0.0012742,              0.0012742,              0.0012742
                    121,                0.87388,                0.55474,                0.97108,                0.60343,                0.74693,                0.64299,                0.32643,                 1.7711,                 1.4361,                 1.6813,              0.0012709,              0.0012709,              0.0012709
                    122,                0.85999,                0.60207,                0.97915,                0.57054,                0.71123,                0.63299,                0.31049,                 1.7697,                 1.5755,                 1.7215,              0.0012676,              0.0012676,              0.0012676
                    123,                0.79411,                0.55732,                0.96667,                0.55642,                0.78227,                0.66302,                 0.3292,                 1.7299,                 1.5166,                 1.7143,              0.0012643,              0.0012643,              0.0012643
                    124,                0.82656,                0.56261,                  0.952,                0.73548,                0.65924,                0.72821,                0.38539,                 1.6807,                  1.267,                 1.6974,               0.001261,               0.001261,               0.001261
                    125,                0.81013,                0.52328,                0.96868,                0.67553,                0.68488,                0.74327,                0.36847,                 1.7966,                 1.3016,                 1.7721,              0.0012577,              0.0012577,              0.0012577
                    126,                0.75294,                0.47658,                0.93648,                0.63826,                0.66735,                0.69925,                0.30508,                 1.9576,                 1.4066,                 1.8936,              0.0012544,              0.0012544,              0.0012544
                    127,                0.82958,                0.55209,                0.94385,                0.57571,                 0.6925,                0.67542,                0.29276,                 2.0024,                 1.5187,                 1.9102,              0.0012511,              0.0012511,              0.0012511
                    128,                0.80591,                0.50669,                0.94342,                 0.5454,                  0.735,                0.62109,                0.29783,                 1.8632,                 1.5952,                 1.7873,              0.0012478,              0.0012478,              0.0012478
                    129,                0.84812,                0.60954,                0.94256,                0.52507,                  0.755,                0.60691,                0.29134,                  1.832,                 1.5814,                 1.7609,              0.0012445,              0.0012445,              0.0012445
                    130,                0.86287,                0.55212,                0.96476,                 0.5205,                 0.7325,                0.60765,                0.28259,                 1.8246,                 1.5592,                 1.7754,              0.0012412,              0.0012412,              0.0012412
                    131,                0.80297,                0.56182,                 0.9431,                0.54315,                0.69074,                0.62662,                0.28969,                 1.8009,                 1.4889,                 1.7697,              0.0012379,              0.0012379,              0.0012379
                    132,                0.82865,                0.56906,                0.94547,                0.55736,                  0.795,                0.66509,                 0.3243,                 1.6918,                 1.3342,                 1.6974,              0.0012346,              0.0012346,              0.0012346
                    133,                0.87082,                0.54595,                0.96473,                0.56141,                 0.8375,                 0.7069,                0.34672,                 1.6845,                 1.3761,                  1.703,              0.0012313,              0.0012313,              0.0012313
                    134,                0.80968,                0.53508,                 0.9329,                0.60011,                0.84258,                0.70022,                 0.3401,                 1.7677,                 1.5074,                 1.7599,               0.001228,               0.001228,               0.001228
                    135,                0.83527,                0.57714,                0.95324,                0.59524,                0.84292,                0.71909,                0.34737,                 1.7861,                 1.5083,                 1.7649,              0.0012247,              0.0012247,              0.0012247
                    136,                0.82406,                0.52884,                0.95848,                0.60104,                0.85414,                0.75246,                0.37807,                 1.6575,                 1.2533,                 1.6392,              0.0012214,              0.0012214,              0.0012214
                    137,                0.81583,                0.50993,                0.92935,                0.63993,                0.78256,                0.77141,                0.38173,                 1.6351,                 1.1865,                 1.6173,              0.0012181,              0.0012181,              0.0012181
                    138,                0.83374,                0.58442,                0.98514,                0.62052,                0.87683,                 0.7587,                0.35534,                 1.7257,                 1.1877,                  1.703,              0.0012148,              0.0012148,              0.0012148
                    139,                0.80074,                0.52331,                0.93096,                0.59405,                 0.8775,                0.72622,                0.36124,                 1.7792,                 1.2249,                 1.7705,              0.0012115,              0.0012115,              0.0012115
                    140,                0.86494,                0.55459,                0.95634,                0.67491,                0.68651,                0.73625,                0.39132,                 1.6986,                 1.2621,                 1.6423,              0.0012082,              0.0012082,              0.0012082
                    141,                0.85155,                0.57588,                0.98971,                0.60642,                0.77757,                0.72601,                0.40387,                 1.7019,                 1.2641,                 1.6337,              0.0012049,              0.0012049,              0.0012049
                    142,                0.88806,                0.62025,                  1.006,                0.67408,                0.67621,                0.72613,                0.38919,                 1.7457,                 1.2492,                 1.6633,              0.0012016,              0.0012016,              0.0012016
                    143,                0.84287,                0.59119,                0.95034,                0.66257,                0.70498,                0.75789,                0.40699,                 1.7678,                 1.2297,                 1.6671,              0.0011983,              0.0011983,              0.0011983
                    144,                0.83674,                0.57369,                0.95405,                 0.7981,                0.63536,                0.79402,                0.42452,                  1.656,                 1.2569,                 1.6221,               0.001195,               0.001195,               0.001195
                    145,                0.87068,                0.59354,                0.96033,                 0.8406,                   0.67,                0.79484,                0.43361,                  1.605,                 1.2903,                 1.6084,              0.0011917,              0.0011917,              0.0011917
                    146,                0.80633,                0.61421,                0.93554,                0.86481,                   0.67,                0.76612,                0.39843,                 1.5938,                 1.2014,                 1.6263,              0.0011884,              0.0011884,              0.0011884
                    147,                0.78926,                0.58226,                0.97976,                0.79735,                   0.59,                0.74285,                0.38749,                   1.61,                  1.157,                 1.6469,              0.0011851,              0.0011851,              0.0011851
                    148,                0.84239,                0.64114,                0.96604,                0.56886,                0.72375,                0.68556,                0.34847,                 1.6323,                 1.2755,                   1.63,              0.0011818,              0.0011818,              0.0011818
                    149,                0.80953,                0.55471,                0.94099,                 0.6256,                 0.6925,                0.67798,                0.34207,                 1.6525,                 1.3054,                 1.6165,              0.0011785,              0.0011785,              0.0011785
                    150,                0.79192,                0.50687,                0.95612,                0.60717,                   0.65,                0.66023,                0.33658,                 1.6682,                  1.472,                 1.6018,              0.0011752,              0.0011752,              0.0011752
                    151,                0.79966,                0.53576,                0.95379,                 0.5918,                0.63083,                 0.6305,                0.32591,                 1.6468,                 1.6052,                 1.5971,              0.0011719,              0.0011719,              0.0011719
                    152,                0.76182,                0.55375,                0.91414,                0.62341,                0.69823,                0.65889,                0.34886,                 1.6101,                 1.5965,                 1.6091,              0.0011686,              0.0011686,              0.0011686
                    153,                0.78749,                  0.535,                0.92873,                0.58582,                0.71272,                0.66339,                0.35621,                 1.6467,                  1.415,                  1.633,              0.0011653,              0.0011653,              0.0011653
                    154,                 0.7718,                0.51223,                0.94168,                0.62137,                0.62385,                0.65388,                 0.3361,                 1.7025,                 1.4004,                 1.6764,               0.001162,               0.001162,               0.001162
                    155,                0.83088,                0.56046,                0.91496,                0.57235,                 0.6925,                0.64702,                0.32253,                 1.6974,                 1.4209,                 1.6729,              0.0011587,              0.0011587,              0.0011587
                    156,                0.75131,                0.55984,                0.92023,                0.55593,                0.67875,                0.62143,                0.32828,                 1.5898,                 1.3647,                 1.5908,              0.0011554,              0.0011554,              0.0011554
                    157,                0.80357,                 0.5779,                0.97583,                 0.5698,                0.61434,                0.58409,                0.30792,                 1.6013,                 1.4801,                 1.6108,              0.0011521,              0.0011521,              0.0011521
                    158,                0.83157,                0.55348,                0.94431,                0.51156,                0.63625,                0.54363,                0.28605,                  1.615,                 1.5603,                 1.6257,              0.0011488,              0.0011488,              0.0011488
                    159,                0.74442,                0.47807,                0.93502,                0.50942,                 0.6675,                0.53072,                 0.2737,                 1.6424,                 1.5463,                 1.6668,              0.0011455,              0.0011455,              0.0011455
                    160,                0.79601,                0.50417,                0.96388,                0.49072,                 0.7525,                0.55299,                0.27928,                 1.6305,                 1.4264,                 1.6532,              0.0011422,              0.0011422,              0.0011422
                    161,                0.79573,                0.53444,                 0.9414,                0.57126,                0.68125,                0.60313,                0.31699,                 1.6167,                 1.3909,                 1.6215,              0.0011389,              0.0011389,              0.0011389
                    162,                0.76397,                0.53082,                0.93117,                 0.5738,                0.72684,                0.64045,                0.33947,                 1.6129,                 1.3302,                 1.6007,              0.0011356,              0.0011356,              0.0011356
                    163,                0.80411,                0.58718,                0.92674,                0.55535,                 0.7325,                0.65216,                0.35233,                 1.6215,                 1.2894,                 1.5592,              0.0011323,              0.0011323,              0.0011323
                    164,                0.78979,                 0.5058,                 0.9236,                0.63979,                0.75161,                0.70909,                0.35742,                 1.6999,                 1.3172,                  1.672,               0.001129,               0.001129,               0.001129
                    165,                0.78002,                0.53213,                0.90768,                0.64388,                0.76734,                 0.7114,                0.36153,                 1.6955,                  1.326,                  1.703,              0.0011257,              0.0011257,              0.0011257
                    166,                0.75457,                0.49556,                0.93018,                0.64599,                0.76711,                 0.7268,                   0.36,                 1.6581,                 1.2296,                 1.6905,              0.0011224,              0.0011224,              0.0011224
                    167,                0.75827,                0.48836,                0.94123,                0.68482,                0.77115,                0.72292,                0.35425,                 1.6945,                 1.1581,                 1.7293,              0.0011191,              0.0011191,              0.0011191
